001:やったー！第一志望に受かった！,ヤッター！ダイイチシボウニウカッタ！
040:パソコンは総合格闘技だよ？GPUだけアップグレードしてもだめ,パソコンワソウゴウカクトウギダヨ？GPUダケアップグレードシテモダメ
041:大事にしてたお皿、割っちゃった…。,ダイジニシテタオサラ、ワッチャッタ…。
042:楽しみにしてたハドフ巡り、中止だな。,タノシミニシテタハドフメグリ、チュウシダナ。
043:ワイファイルーターの温度気にしたことある？,ワイファイルーターオンドキニシタコトアル？
044:この傘カメラと引き金がついてる。,コノカサカメラトヒキガネガツイテル。
045:猫の毛を加水分解して醤油にするか,ネコノケヲカスイブンカイシテショウユニスルカ
046:隣に引っ越してきた人配信者じゃない？,トナリニヒッコシテキタヒトハイシンシャジャナイ？
047:早く体を義体化したい。,ハヤクカラダヲギタイカシタイ。
048:今日の試験、落ちたかも。,キョウノシケン、オチタカモ。
049:なんかさっきの人、話が通じなかった。,ナンカサッキノヒト、ハナシガツウジナカッタ。
050:最近、誰とも話してないな。,サイキン、ダレトモハナシテナイナ。
051:さよなら、俺のSSD…。バックアップ、取ってなかった…。,サヨナラ、オレノSSD…。バックアップ、トッテナカッタ…。
052:レンダリング終わったら、ノイズまみれだった…。,レンダリングオワッタラ、ノイズマミレダッタ…。
053:仲良かったフレンド、最近全然ログインしてないな…。,ナカヨカッタフレンド、サイキンゼンゼンログインシテナイナ…。
054:好きな作者や病んじゃった,スキナサクシャヤヤンデジャッタ
055:電圧かけすぎてマイコンが死んだ。,デンアツカケスギテマイコンガシンダ。
056:すごいワールド作ったのに、誰も来てくれない…。,スゴイワールドツクッタノニ、ダレモキテクレナイ…。
057:頭は一つなのにVRゴーグルがいっぱい,アタマハヒトツナノニVRゴーグルガイッパイ
058:パブリックドメインっていい響きだね,パブリックドメインッテイイヒビキダネ
059:昨日まであったショップが消えた…。,キノウマデアッタショップガキエタ…。
060:好きだった漫画が、打ち切りになっちゃったんだ…。,スキダッタマンガガ、ウチキリニナッチャッタンダ…。
061:え、うそ！あそこのお店、今日で閉店なの！？,エ、ウソ！アソコノオミセ、キョウデヘイテンナノ！？
062:あれ？財布どこやったっけ…？さっきまであったのに！,アレ？サイフドコヤッタッケ…？サッキマデアッタノニ！
063:まさか、ここでばったり会うなんて！すごい偶然だね！,マサカ、ココデバッタリアウナンテ！スゴイグウゼンダネ！
064:え！？二人って、付き合ってたの！？,エ！？フタリッテ、ツキアッテタノ！？
065:うわっ！びっくりした！急にドア開けないでよ！,ウワッ！ビックリシタ！キュウニドアアケナイデヨ！
066:え、これ、私にくれるの？本当？,エ、コレ、ワタシニクレルノ？ホントウ？
067:すごい！どうやったの、今のマジック！,スゴイ！ドウヤッタノ、イマノマジック！
068:え、もう12月？早すぎない？,エ、モウジュウニガツ？ハヤスギナイ？
069:うわ、このラーメン屋、めっちゃ並んでる！,ウワ、コノラーメンヤ、メッチャナンデル！
070:えっ、これがあの時の子役？大きくなったねー！,エッ、コレガアノトキノコヤク？オオキクナッタネー！
071:え！？このスペックのPCがこの値段？バグってない？,エ！？コノスペックノPCガコノネダン？バグッテナイ？
072:まじか！また神アップデート来てる！,マジカ！マタカミアップデートキテル！
073:え？ボイチェンじゃなくて地声なの！？,エ？ボイチェンジャナクテジセイナノ！？
074:うそ！あの漫画、10年ぶりに続編決定！？,ウソ！アノマンガ、ジュウネンブリニゾクヘンケッテイ！？
075:あれ？プログラム変えてないのに、なんで動いてんの？,アレ？プログラムカエテナイノニ、ナンデウゴイテンノ？
076:このアイテム、VRゴーグルつけたまま全部つくったの？,コノアイテム、VRゴーグルツケタママゼンブツクッタノ？
077:CPU温度100度超えてる！クーラーのフィルム剥がし忘れてた！,CPUオンドヒャクドコエテル！クーラーノフィルムハガシワスレテタ！
078:あのモデラー、まだ高校生だったの！？,アノモデラー、マダコウコウセイダッタノ！？
079:え、もう朝？寝る時間ないじゃん…。,エ、モウアサ？ネルジカンナイジャン…。
080:あの伏線、ここで回収する！？この脚本家、天才か！,アノフクセン、ココデカイシュウスル！？コノキョクホンカ、テンサイカ！
081:今日の天気、すごく穏やかだね。公園でも行こうかな。,キョウノテンキ、スゴクオダヤカダネ。コウエンデモイコウカナ。
082:コーヒー淹れたけど、一緒にちょっと休憩しない？,コーヒーイレタケド、イッショニチョットキュウケイシナイ？
083:今日のタスク、だいたい終わったし、あとはゆっくりしよっと。,キョウノタスク、ダイタイオワッタシ、アトハユックリシヨット。
084:さて、そろそろ夕飯の準備でもしようかな。,サテ、ソロソロユウハンノジュンビデモシヨウカナ。
085:今日は家でゆっくり映画でも観よう。,キョウハイエデユックリエイガデモミヨウ。
086:あ、もう牛乳なかったんだ。買っておかないと。,ア、モウギュウニュウナカッタンダ。カッテオカナイト。
087:この曲、聴いてると落ち着くなあ。,コノキョク、キイテルトオチツクナア。
088:洗濯物、取り込まないといけないね。,センタクモノ、トリコミナイトイケナイネ。
089:明日は9時にアラームかけとこ。,アシタハクジニアラームカケトコ。
090:今日は特に何もなかったな。,キョウハトクニナニモナカッタナ。
091:さて、プログラム書くか。夜中が一番集中できる。,サテ、プログラムカクカ。ヨナカガイチバンシュウチュウデキル。
092:よし、今日も一日一回、感謝のモデリング練習。,ヨシ、キョウモイチニチイッカイ、カンシャノモデリングレンシュウ。
093:寝る前に、みんなに挨拶しにいこ。,ネルマエニ、ミンナニアイサツシニイコ。
094:今期のアニメ、豊作だな。どれから見るかゆっくり考えよう。,コンキノアニメ、ホウサクダナ。ドレカラミルカユックリカンガエヨウ。
095:今どきの記念写真は3Dでしょ。,イマドキノキネンシャシンハ3Dデショ。
096:ただ景色眺めてるだけでも結構楽しい。,タダケシキナガメテルダケデモケッコウタノシイ。
097:キーボードの掃除したら、心なしかタイプ音も静かになった気がする。,キーボードノソウジシタラ、ココロナシカタイプオトモシズカニナッタキガスル。
098:メッシュの頂点を一個一個、丁寧に整えていく作業、無心になれる。,メッシュノチョウテンヲイッコイッコ、テイネイニトトノエテイクサギョウ、ムシンニナレル。
099:ただ空を眺める。こういう時間も大事。,タダソラヲナガメル。コウイウジカンモダイジ。
100:アニメみながら寝落ちするの、最高の週末だ。,アニメミナガラネオチスルノ、サイコウノシュウマツダ。
